191__a,71020a,65117a,71127a,65007a,245__,246__,246__(2),246__(3),079__,269__,coverage,500__,020__a,022__a,en_id,fr_id,es_id,ru_id,dl
E/INCB/1987/4,International Narcotics Control Board,,,"NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES
","$a Estadísticas de sustancias sicotrópicas para 1986 facilitadas por los gobiernos en cumplimiento del Convenio de 1971 sobre sustancias sicotrópicas, de la resolución I de la Conferencia de las Naciones Unidas para la adopción de un Protocolo sobre sustancias sicotrópicas y de la resolución 1576(L) del Consejo Económico y Social",,,,87.XI.2,1987-01-01 0:00:00,1986-01-01 0:00:00,,,,,,420147,,y
E/INCB/1989/3,International Narcotics Control Board,,,"NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES
","$a Estadísticas de sustancias sicotrópicas para 1988 facilitadas por los gobiernos en cumplimiento del Convenio de 1971 sobre sustancias sicotrópicas, de la resolución I de la Conferencia de las Naciones Unidas para la adopción de un Protocolo sobre sustancias sicotrópicas y de la resolución 1576(L) del Consejo Económico y Social",,,,89.XI.4,1989-01-01 0:00:00,1988-01-01 0:00:00,,,,,,418004,,y
E/DSB/25/Add.3||E/OB/23/Add.3,,,,NARCOTIC DRUGS,$a Estado comparativo de las previsiones y las estadísticas de estupefacientes facilitadas para 1966 por los gobiernos en cumplimiento de los tratados internacionales,,,,68.XI.4,1968-01-01 0:00:00,1966-01-01 0:00:00,,,,,,419703,,n
E/INCB/28,International Narcotics Control Board,,,"NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES
",$a Estado comparativo de las previsiones y las estadísticas de estupefacientes facilitadas para 1973 por los gobiernos en cumplimiento de los tratados internacionales,,,,75.XI.4,1975-01-01 0:00:00,1973-01-01 0:00:00,,,,,,420196,,n
E/INCB/1984/5,International Narcotics Control Board,,,"NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES
",$a Estado comparativo de las previsiones y las estadísticas de estupefacientes facilitadas para 1983 por los gobiernos en cumplimiento de los tratados internacionales,,,,84.XI.8,1984-01-01 0:00:00,1983-01-01 0:00:00,,,,,,421706,,y
E/DSB/25/Add.1||E/OB/23/Add.1,UN. Drug Supervisory Body,,,NARCOTIC DRUGS||OPIUM,"$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1968 :$b statement issued by the Supervisory Body under article 5of the Convention of 13 July 1931 for limiting the manufacture and regulating the distribution of narcotic drugs, as amended by the Protocol of 11 December 1946, and under article 12 of the Single convention on narcotic drugs, 1961","$a Évaluations pour 1968 des besoins du monde en stupéfiants et de la production mondiale d'opium :$b état dressé par l'organe de contrôle en vertu de l'article 5 de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946, et en vertu de l'article 12 de la Convention unique sur les stupéfiants de 1961",,,68.XI.1,1967-01-01 0:00:00,1968-01-01 0:00:00,,,,422287,419694,,,n
E/INCB/2,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1969,$a Evaluations pour 1969 des besoins du monde en stupéfiants et de la production mondiale d'opium,$a Previsiones para 1969 de las necesidades mundiales de estupefacientes,,69.XI.5,1968-01-01 0:00:00,1969-01-01 0:00:00,,,,417971,419409,418518,,n
E/INCB/6,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1970,$a Évaluations pour 1970 des besoins du monde en stupéfiants et de la production mondiale d'opium,$a Previsiones para 1970 de las necesidades mundiales de estupefacientes y de la producción mundial de opio,,70.XI.1,1969-01-01 0:00:00,1970-01-01 0:00:00,,,,419386,420523,421409,,n
E/INCB/10,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1971,$a Évaluations pour 1971 des besoins du monde en stupéfiants et de la production mondiale d'opium,$a Previsiones para 1971 de las necesidades mundiales de estupefacientes y de la producción mundial de opio,,71.XI.1,1970-01-01 0:00:00,1971-01-01 0:00:00,,,,418624,421062,418944,,n
E/INCB/14,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1972,$a Évaluations pour 1972 des besoins du monde en stupéfiants et de la production mondiale d'opium,$a Previsiones para 1972 de las necesidades mundiales de estupefacientes y de la producción mundial de opio,,72.XI.1,1971-01-01 0:00:00,1972-01-01 0:00:00,,,,421987,420374,418407,,n
E/INCB/18,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1973,$a Évaluations pour 1973 des besoins du monde en stupéfiants et de la production mondiale d'opium,$a Previsiones para 1973 de las necesidades mundiales de estupefacientes y de la producción mundial de opio,,73.XI.2,1972-01-01 0:00:00,1973-01-01 0:00:00,,,,418910,420251,418935,,n
E/INCB/22,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1974,$a Évaluations pour 1974 des besoins du monde en stupéfiants et de la production mondiale d'opium,$a Previsiones para 1974 de las necesidades mundiales de estupefacientes y de la producción mundial de opio,,74.XI.1,1973-01-01 0:00:00,1974-01-01 0:00:00,,,,422021,420205,421149,,n
E/INCB/26,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1975,$a Évaluations pour 1975 des besoins du monde en stupéfiants et de la production mondiale d'opium,$a Previsiones para 1975 de las necesidades mundiales de estupefacientes y de la pruducción mundial de opio,,75.XI.1,1974-01-01 0:00:00,1975-01-01 0:00:00,,,,422191,420771,420309,,n
E/INCB/26/Supp.5,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1975,,,,75.XI.I,1975-01-01 0:00:00,1975-01-01 0:00:00,,,,418801,,,,n
E/INCB/26/Supp.7,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1975,,,,75.XI.I,1975-01-01 0:00:00,1975-01-01 0:00:00,,,,418247,,,,n
E/INCB/26/Supp.1,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1975 :$b supplement No. 01,,,,75.XI.I,1975-01-01 0:00:00,1975-01-01 0:00:00,,,,420229,,,,n
E/INCB/26/Supp.3,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1975 :$b supplement No. 03,,,,75.XI.I,1975-01-01 0:00:00,1975-01-01 0:00:00,,,,417982,,,,n
E/INCB/26/Supp.4,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1975 :$b supplement No. 04,,,,75.XI.I,1975-01-01 0:00:00,1975-01-01 0:00:00,,,,421459,,,,n
E/INCB/30,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1976,$a Évaluations pour 1976 des besoins du monde en stupéfiants et de la production mondiale d'opium,$a Previsiones para 1976 de las necesidades mundiales de estupefacientes y de la producción mundial de opio,,76.XI.1,1975-01-01 0:00:00,1976-01-01 0:00:00,,,,419020,420059,418427,,n
E/INCB/30/Supp.6,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1976 :$b supplement No. 06,,,,76.XI.1,1976-01-01 0:00:00,1976-01-01 0:00:00,,,,419402,,,,n
E/INCB/30/Supp.12,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1976 :$b supplement No.12,,,,76.XI.12,1977-01-01 0:00:00,1976-01-01 0:00:00,,,,419919,,,,n
E/INCB/34,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1977,$a Évaluations pour 1977 des besoins du monde en stupéfiants et de la production mondiale d'opium,$a Previsiones para 1977 de las necesidades mundiales de estupefacientes y de la producción mundial de opio,,77.XI.1,1976-01-01 0:00:00,1977-01-01 0:00:00,,,,420486,420328,420631,,n
E/INCB/34/Supp.1,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1977 :$b supplement No. 01,,,,77.XI.1,1977-01-01 0:00:00,1977-01-01 0:00:00,,,,418726,,,,n
E/INCB/34/Supp.3/Add.1,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1977 :$b supplement No. 03/Add.1,,,,77.XI.11,1977-01-01 0:00:00,1977-01-01 0:00:00,,,,419616,,,,n
E/INCB/34/Supp.4,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1977 :$b supplement No. 04,,,,77.XI.1,1977-01-01 0:00:00,1977-01-01 0:00:00,,,,419660,,,,n
E/INCB/34/Supp.7,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1977 :$b supplement No. 07,,,,77.XI.1,1977-01-01 0:00:00,1977-01-01 0:00:00,,,,421169,,,,n
E/INCB/34/Supp.8,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1977 :$b supplement No. 08,,,,77.XI.1,1977-01-01 0:00:00,1977-01-01 0:00:00,,,,418863,,,,n
E/INCB/34/Supp.12,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Estimated world requirements of narcotic drugs and estimates of world production of opium in 1977 :$b supplement No. 12,,,,77.XI.12,1978-01-01 0:00:00,1977-01-01 0:00:00,,,,418371,,,,n
E/INCB/38,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1978 :$b statement issued by the International Narcotics Control Board in accordance with the international treaties on narcotic drugs,,,,78.XI.1,1977-01-01 0:00:00,1978-01-01 0:00:00,,,,422075,,,,y
E/INCB/38/Supp.6,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1978 :$b supplement No. 06,,,,78.XI.1,1978-01-01 0:00:00,1978-01-01 0:00:00,,,,420799,,,,y
E/INCB/42,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1979 :$b statement issued by the International Narcotics Control Board in accordance with the international treaties on narcotic drugs,$a Évaluations pour 1979 des besoins du monde en stupéfiants :$b état dressé par l'Organe international de contrôle des stupéfiants en vertu des traités internationaux sur les stupéfiants,$a Previsiones para 1979 de las necesidades mundiales de estupefacientes,,79.XI.1,1978-01-01 0:00:00,1979-01-01 0:00:00,,,,421180,418260,419349,,y
E/INCB/46,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1980,,,,80.XI.1,1980-01-01 0:00:00,1980-01-01 0:00:00,,,,421650,,,,y
E/INCB/46/Supp.1,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1980 :$b supplement No. 01,,,,80.XI.1,1980-01-01 0:00:00,1980-01-01 0:00:00,,,,418003,,,,y
E/INCB/46/Supp.2,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1980 :$b supplement No. 02,,,,80.XI.1,1980-01-01 0:00:00,1980-01-01 0:00:00,,,,420431,,,,y
E/INCB/46/Supp.4,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1980 :$b supplement No. 04,,,,80.XI.1,1980-01-01 0:00:00,1980-01-01 0:00:00,,,,419590,,,,y
E/INCB/46/Supp.10,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1980 :$b supplement No. 10,,,,80.XI.10,1980-01-01 0:00:00,1980-01-01 0:00:00,,,,421966,,,,y
E/INCB/46/Supp.12,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1980 :$b supplement No. 12,,,,80.XI.12,1981-01-01 0:00:00,1980-01-01 0:00:00,,,,421648,,,,y
E/INCB/51/Supp.3,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1981 :$b supplement No. 03,,,,81.XI.1,1981-01-01 0:00:00,1981-01-01 0:00:00,,,,421790,,,,y
E/INCB/51/Supp.4,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1981 :$b supplement No. 04,,,,81.XI.1,1981-01-01 0:00:00,1981-01-01 0:00:00,,,,422110,,,,y
E/INCB/51/Supp.7,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1981 :$b supplement No. 07,,,,81.XI.1,1981-01-01 0:00:00,1981-01-01 0:00:00,,,,421085,,,,y
E/INCB/51/Supp.8,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1981 :$b supplement No. 08,,,,81.XI.1,1981-01-01 0:00:00,1981-01-01 0:00:00,,,,421534,,,,y
E/INCB/51/Supp.10,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1981 :$b supplement No. 10,,,,81.XI.10,1981-01-01 0:00:00,1981-01-01 0:00:00,,,,419416,,,,y
E/INCB/57/Supp.1,International Narcotics Control Board,,,"NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES
",$a Estimated world requirements of narcotic drugs in 1982 :$b supplement No. 01,,$a Previsiones de las necesidades mundiales de estupefacientes para 1982 :$b suplemento n.° 1,,82.XI.2,1982-01-01 0:00:00,1982-01-01 0:00:00,,,,418159,,421517,,y
E/INCB/57/Supp.4,International Narcotics Control Board,,,"NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES
",$a Estimated world requirements of narcotic drugs in 1982 :$b supplement No. 04,,$a Previsiones de las necesidades mundiales de estupefacientes para 1982 :$b suplemento n.°4,,82.XI.2,1982-01-01 0:00:00,1982-01-01 0:00:00,,,,420371,,420108,,y
E/INCB/57/Supp.5,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1982 :$b supplement No. 05,,,,82.XI.2,1982-01-01 0:00:00,1982-01-01 0:00:00,,,,418084,,,,y
E/INCB/57/Supp.12,International Narcotics Control Board,,,"NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES
",$a Estimated world requirements of narcotic drugs in 1982 :$b supplement no. 12,,$a Previsiones de las necesidades mundiales de estupefacientes para 1982 :$b suplemento n°. 12,,82.XI.22,1982-01-01 0:00:00,1982-01-01 0:00:00,,,,420326,,420019,,y
E/INCB/57/Supp.7,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1982 :$b supplement no. 7,$a Évaluations des besoins du monde en stupéfiants pour 1982 :$b supplément N°. 07,,,82.XI.2,1982-01-01 0:00:00,1982-01-01 0:00:00,,,,420364,418392,,,y
E/INCB/57/Supp.9,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1982 :$b supplement no. 9,,,,82.XI.2,1982-01-01 0:00:00,1982-01-01 0:00:00,,,,420559,,,,y
E/INCB/62,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1983,,,,82.XI.2,1982-01-01 0:00:00,1983-01-01 0:00:00,,,,419127,,,,y
E/INCB/62/Supp.1,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1983 :$b supplement No. 01,,,,83.XI.2,1983-01-01 0:00:00,1983-01-01 0:00:00,,,,421248,,,,y
E/INCB/62/Supp.6,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1983 :$b supplement No. 06,,,,83.XI.2,1983-01-01 0:00:00,1983-01-01 0:00:00,,,,419475,,,,y
E/INCB/1983/2/Supp.3,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1984 :$b supplement no. 03,,,,84.XI.2,1984-01-01 0:00:00,1984-01-01 0:00:00,,,,421680,,,,y
E/INCB/1983/2/Supp.10,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1984 :$b supplement no. 10,,,,84.XI.20,1984-01-01 0:00:00,1984-01-01 0:00:00,,,,421554,,,,y
E/INCB/1983/2/Supp.11,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1984 :$b supplement no. 11,,,,84.XI.21,1984-01-01 0:00:00,1984-01-01 0:00:00,,,,418319,,,,y
E/INCB/1983/2/Supp.12,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1984 :$b supplement no. 12,,,,84.XI.22,1984-01-01 0:00:00,1984-01-01 0:00:00,,,,419579,,,,y
E/INCB/1984/2,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1985,,,,84.XI.5,1984-01-01 0:00:00,1985-01-01 0:00:00,,,,419913,,,,y
E/INCB/1984/2/Supp.3,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1985 :$b supplement no. 03,,,,85.XI.5,1985-01-01 0:00:00,1985-01-01 0:00:00,,,,417928,,,,y
E/INCB/1984/2/Supp.7,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1985 :$b supplement no. 07,,,,85.XI.5,1985-01-01 0:00:00,1985-01-01 0:00:00,,,,420358,,,,y
E/INCB/1984/2/Supp.8,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1985 :$b supplement no. 08,,,,85.XI.5,1985-01-01 0:00:00,1985-01-01 0:00:00,,,,421379,,,,y
E/INCB/1985/2,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1986,,,,85.XI.2,1985-01-01 0:00:00,1986-01-01 0:00:00,,,,419811,,,,y
E/INCB/1985/2/Supp.1,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1986 :$b supplement No. 01,,,,,1986-01-01 0:00:00,1986-01-01 0:00:00,,, 0082-8327 ,419428,,,,y
E/INCB/1985/2/Supp.4,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1986 :$b supplement No. 04,,,,,1986-01-01 0:00:00,1986-01-01 0:00:00,,, 0082-8321 ,420331,,,,y
E/INCB/1985/2/Supp.10,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1986 :$b supplement no. 10,,,,,1986-01-01 0:00:00,1986-01-01 0:00:00,,,0082-8327 ,422305,,,,y
E/INCB/1986/2/Supp.1,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1987 :$b supplement No. 01,,,,,1987-01-01 0:00:00,1987-01-01 0:00:00,,, 0082-8327 ,421561,,,,y
E/INCB/1986/2/Supp.2,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1987 :$b supplement No. 02,,,,,1987-01-01 0:00:00,1987-01-01 0:00:00,,,,422275,,,,y
E/INCB/1986/2/Supp.12,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1987 :$b supplement No. 12,,,,,1987-01-01 0:00:00,1987-01-01 0:00:00,,, 0082-8327 ,421485,,,,y
E/INCB/1987/2/Supp.3,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1988 :$b supplement No. 03,,,,,1988-01-01 0:00:00,1988-01-01 0:00:00,,, 0082-8327 ,421367,,,,y
E/INCB/1987/2/Supp.8,International Narcotics Control Board,,,NARCOTIC DRUGS,$a Estimated world requirements of narcotic drugs in 1988 :$b supplement No. 08,,,,,1988-01-01 0:00:00,1988-01-01 0:00:00,,, 0082-8327 ,419067,,,,y
E/NL.1999/59,Estonia,ESTONIA,,NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES,$a Estonia :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,1999-01-01 0:00:00,1997-01-01 0:00:00,,,,418656,,,,y
E/INCB/1989/2,International Narcotics Control Board,,,"NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES
","$a Estupefacientes :$b previsiones de las necesidades mundiales para 1990, estadísticas para 1988",,,,89.XI.3,1989-01-01 0:00:00,1990-01-01 00:00:00||1988-01-01 00:00:00,,,,,,418885,,y
E/INCB/1990/2,International Narcotics Control Board,,,"NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES
","$a Estupefacientes :$b previsiones de las necesidades mundiales para 1991, estadísticas para 1989",,,,90.XI.4,1990-01-01 0:00:00,1991-01-01 00:00:00||1989-01-01 00:00:00,,,,,,421034,,y
E/INCB/1991/2,International Narcotics Control Board,,,"NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES
","$a Estupefacientes :$b previsiones de las necesidades mundiales para 1992, estadísticas para 1990",,,,91.XI.2,1991-01-01 0:00:00,1992-01-01 00:00:00||1990-01-01 00:00:00,,92-1-048050-3 (Spanish), 1013-3453,,,418233,,y
E/INCB/1994/2,International Narcotics Control Board,,,"NARCOTIC DRUGS||PSYCHOTROPIC SUBSTANCES
","$a Estupefacientes :$b previsiones de las necesidades mundiales para 1995, estadísticas para 1993",,,,95.XI.3,1994-01-01 0:00:00,1995-01-01 00:00:00||1993-01-01 00:00:00,,92-1-04860-0  (Spanish), 1013-3453,,,419430,,y
E/OB/23/Add.3||E/DSB/25/Add.3,,,,NARCOTIC DRUGS,$a État comparatif des évaluations et des statistiques sur les stupéfiants fournies pour 1966 par les gouvernements conformément aux traités internationaux,,,,68.XI.4,1968-01-01 0:00:00,1966-01-01 0:00:00,,,,,420953,,,n
E/INCB/8,,,,NARCOTIC DRUGS,$a État comparatif des évaluations et des statistiques sur les stupéfiants fournies pour 1968 par les gouvernements conformément aux traites internationaux,,$a Estado comparativo de las previsiones y las estadísticas de estupefacientes facilitadas para 1968 por los gobiernos en cumplimiento de los tratados internacionales,,70.XI.4,1970-01-01 0:00:00,1968-01-01 0:00:00,,,,,420886,419235,,n
E/INCB/16,,,,NARCOTIC DRUGS,$a État comparatif des évaluations et des statistiques sur les stupéfiants fournies pour 1970 par les gouvernements conformément aux traités internationaux,,$a Estado comparativo de las previsiones y las estadísticas de estupefacientes facilitadas para 1970 por los gobiernos en cumplimiento de los tratados internacionales,,72.XI.3,1972-01-01 0:00:00,1970-01-01 0:00:00,,,,,421553,419112,,n
E/INCB/20,,,,NARCOTIC DRUGS,$a État comparatif des évaluations et des statistiques sur les stupéfiants fournies pour 1971 par les gouvernements conformément aux traités internationaux,,$a Estado comparativo de las previsiones y las estadísticas de estupefacientes facilitadas para 1971 por los gobiernos en cumplimiento de los tratados internacionales,,73.XI.6,1973-01-01 0:00:00,1971-01-01 0:00:00,,,,,421000,420363,,n
E/INCB/32,International Narcotics Control Board,,,NARCOTIC DRUGS,$a État comparatif des évaluations et des statistiques sur les stupéfiants fournies pour 1974 par les gouvernements conformément aux traités internationaux,,,,76.XI.4,1976-01-01 0:00:00,1974-01-01 0:00:00,,,,,421857,,,n
E/INCB/40,International Narcotics Control Board,,,NARCOTIC DRUGS,$a État comparatif des évaluations et des statistiques sur les stupéfiants fournies pour 1976 par les gouvernements conformément aux traités internationaux,,,,78.XI.4,1978-01-01 0:00:00,1976-01-01 0:00:00,,,,,421745,,,y
E/INCB/45,International Narcotics Control Board,,,NARCOTIC DRUGS,$a État comparatif des évaluations et des statistiques sur les stupéfiants fournies pour 1977 par les gouvernements conformément aux traites internationaux,,,,79.XI.3,1979-01-01 0:00:00,1977-01-01 0:00:00,,,,,418263,,,y
E/INCB/50,International Narcotics Control Board,,,NARCOTIC DRUGS,$a État comparatif des évaluations et des statistiques sur les stupéfiants fournies pour 1978 par les gouvernements conformément aux traités internationaux,,,,80.XI.5,1980-01-01 0:00:00,1978-01-01 0:00:00,,,,,418735,,,y
E/INCB/60,International Narcotics Control Board,,,NARCOTIC DRUGS,$a État comparatif des évaluations et des statistiques sur les stupéfiants fournies pour 1980 par les gouvernements conformément aux traités internationaux,,,,82.XI.3,1981-01-01 0:00:00,1980-01-01 0:00:00,,,,,422079,,,y
E/INCB/65,International Narcotics Control Board,,,NARCOTIC DRUGS,$a État comparatif des évaluations et des statistiques sur les stupéfiants fournies pour 1981 par les gouvernements conformément aux traités internationaux,,,,83.XI.4,1982-01-01 0:00:00,1981-01-01 0:00:00,,,,,420256,,,y
E/INCB/1983/5,International Narcotics Control Board,,,NARCOTIC DRUGS,$a État comparatif des évaluations et des statistiques sur les stupéfiants fournies pour 1982 par les gouvernements conformément aux traites internationaux,,,,84.XI.3,1983-01-01 0:00:00,1982-01-01 0:00:00,,,,,420521,,,y
E/INCB/1985/5,International Narcotics Control Board,,,NARCOTIC DRUGS,$a État comparatif des évaluations et des statistiques sur les stupéfiants fournies pour 1984 par les gouvernements conformément aux traités internationaux,,,,85.XI.5,1985-01-01 0:00:00,1984-01-01 0:00:00,,,,,421462,,,y
E/NL.1952/102-103,Ethiopia,ETHIOPIA,,NARCOTIC DRUGS,"$a Ethiopia :$b Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946","$a Éthiopie :$b Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,1952-01-01 0:00:00,1942-01-01 00:00:00||1950-01-01 00:00:00,,,,422219,420747,,,n
E/NL.1966/37,Ethiopia,ETHIOPIA,,NARCOTIC DRUGS,$a Ethiopia :$b Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs,,,,,1966-01-01 0:00:00,1964-01-01 0:00:00,,,,419512,,,,n
C. 434. M. 225. 1935. XI.||O.C. 1535 (G),,,,,"$a Études et documents relatifs au fonctionnement du système des certificats d'importation et des autorisations d'exportation, Genève, le 2 novembre 1935",,,,,1935-01-01 0:00:00,1935-01-01 0:00:00,,,,,421393,,,n
E/INCB/26/Supp.2,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Évaluations des besoins du monde en stupéfiants et de la production mondiale d'opium pour 1975 :$b supplément N°. 02,,,,75.XI.I,1975-01-01 0:00:00,1975-01-01 0:00:00,,,,,418760,,,n
E/INCB/26/Supp.6,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Évaluations des besoins du monde en stupéfiants et de la production mondiale d'opium pour 1975 :$b supplément N°. 06,,,,75.XI.I,1975-01-01 0:00:00,1975-01-01 0:00:00,,,,,418366,,,n
E/INCB/26/Supp.8,International Narcotics Control Board,,,NARCOTIC DRUGS||OPIUM,$a Évaluations des besoins du monde en stupéfiants et de la production mondiale d'opium pour 1975 :$b supplément n°. 08,,,,75.XI.I,1975-01-01 0:00:00,1975-01-01 0:00:00,,,,,418533,,,n
